image,supplied_split,similarity_aware_split,changed_split
0073819.jpg,train,train,False
0074492.jpg,train,train,False
0074688.jpg,train,train,False
0074919.jpg,train,train,False
0074927.jpg,train,train,False
0074957.jpg,train,train,False
0074960.jpg,train,train,False
0074966.jpg,train,train,False
0074971.jpg,val,val,False
0074972.jpg,train,train,False
0074973.jpg,train,train,False
0074975.jpg,train,train,False
0074976.jpg,train,train,False
0074985.jpg,train,train,False
0075015.jpg,train,train,False
0075016.jpg,train,train,False
0075019.jpg,train,train,False
0075024.jpg,train,train,False
0075037.jpg,train,train,False
0075047.jpg,train,train,False
0075054.jpg,train,train,False
0075059.jpg,train,train,False
0075061.jpg,train,train,False
0075063.jpg,train,train,False
0075077.jpg,val,val,False
0075084.jpg,train,train,False
0079575.jpg,train,train,False
0079746.jpg,train,train,False
0079750.jpg,train,train,False
0079874.jpg,train,train,False
0079889.jpg,train,train,False
0079908.jpg,train,train,False
0079911.jpg,train,train,False
0079913.jpg,val,val,False
0079995.jpg,train,train,False
0080201.jpg,train,train,False
0080237.jpg,val,val,False
0080255.jpg,val,val,False
0080268.jpg,train,train,False
0080323.jpg,train,train,False
0080329.jpg,train,train,False
0080366.jpg,train,train,False
0080373.jpg,train,train,False
0080376.jpg,val,val,False
0080395.jpg,train,train,False
0080401.jpg,val,val,False
0080444.jpg,val,val,False
0080458.jpg,train,train,False
0080471.jpg,train,train,False
0080488.jpg,train,train,False
0080489.jpg,train,train,False
0080498.jpg,train,train,False
0080565.jpg,train,train,False
0080738.jpg,train,train,False
0080747.jpg,train,train,False
0080748.jpg,train,train,False
0080749.jpg,train,train,False
0080758.jpg,train,train,False
0080769.jpg,train,train,False
0080770.jpg,val,val,False
0080839.jpg,train,train,False
0080864.jpg,train,train,False
0080865.jpg,train,train,False
0080866.jpg,train,train,False
0080867.jpg,train,train,False
0080875.jpg,val,val,False
0080877.jpg,train,train,False
0080882.jpg,val,val,False
0080884.jpg,train,train,False
0080888.jpg,train,train,False
0080895.jpg,val,val,False
0080957.jpg,train,train,False
0081003.jpg,train,train,False
0081028.jpg,train,train,False
0081070.jpg,train,train,False
0081072.jpg,val,val,False
0081094.jpg,train,train,False
0081102.jpg,train,train,False
0082436.jpg,train,train,False
00826.jpg,train,train,False
0082858.jpg,train,train,False
0083018.jpg,train,train,False
0083019.jpg,train,train,False
0083885.jpg,train,train,False
0083890.jpg,train,train,False
0084149.jpg,val,val,False
0084218.jpg,train,train,False
0084298.jpg,train,train,False
0084299.jpg,train,train,False
0084311.jpg,train,train,False
0084334.jpg,train,train,False
0086469.jpg,train,train,False
0086763.jpg,train,train,False
0088674.jpg,train,train,False
0088691.jpg,train,train,False
0088693.jpg,train,train,False
0088697.jpg,train,train,False
0088846.jpg,train,train,False
0092663.jpg,train,train,False
0092664.jpg,train,train,False
0092666.jpg,train,train,False
0092736.jpg,train,train,False
0093085.jpg,train,train,False
0093189.jpg,train,train,False
0093197.jpg,train,train,False
0094569.jpg,val,val,False
0094593.jpg,train,train,False
0095923.jpg,train,train,False
0097489.jpg,train,train,False
0097802.jpg,train,train,False
0098796.jpg,train,train,False
0099776.jpg,train,train,False
0100373.jpg,train,train,False
0100374.jpg,val,val,False
0100378.jpg,train,train,False
0100379.jpg,train,train,False
0100383.jpg,train,train,False
0100405.jpg,train,train,False
0100411.jpg,train,train,False
0100413.jpg,train,train,False
0100483.jpg,train,train,False
0100644.jpg,train,train,False
0100647.jpg,train,train,False
0100656.jpg,train,train,False
0100690.jpg,train,train,False
0100794.jpg,train,train,False
0100850.jpg,val,val,False
0101393.jpg,train,train,False
0102000.jpg,train,train,False
0102043.jpg,train,train,False
0102325.jpg,train,train,False
0102682.jpg,train,train,False
0102708.jpg,val,val,False
0102717.jpg,train,train,False
0102725.jpg,train,train,False
0103645.jpg,val,val,False
0103984.jpg,val,val,False
0104196.jpg,train,train,False
0104599.jpg,train,train,False
0104600.jpg,train,train,False
0104620.jpg,train,train,False
0104623.jpg,train,train,False
0105344.jpg,train,train,False
0105373.jpg,train,train,False
0105551.jpg,train,train,False
0105586.jpg,train,train,False
0105630.jpg,val,val,False
0105709.jpg,train,train,False
0105831.jpg,val,val,False
0105947.jpg,val,val,False
0105948.jpg,val,val,False
0105974.jpg,train,train,False
0105975.jpg,train,train,False
0105976.jpg,train,train,False
0105983.jpg,train,train,False
0105991.jpg,train,train,False
0105992.jpg,val,val,False
0105993.jpg,train,train,False
0106046.jpg,train,train,False
0106049.jpg,train,train,False
0106083.jpg,val,val,False
0106117.jpg,train,train,False
0106128.jpg,val,val,False
0106129.jpg,train,train,False
0106134.jpg,train,train,False
0106136.jpg,train,train,False
0106165.jpg,train,train,False
0106191.jpg,val,val,False
0106200.jpg,train,train,False
0106203.jpg,train,train,False
0106207.jpg,val,val,False
0106221.jpg,train,train,False
0106237.jpg,train,train,False
0107314.jpg,train,train,False
0107335.jpg,train,train,False
0107342.jpg,train,train,False
0107357.jpg,train,train,False
0107395.jpg,train,train,False
0107400.jpg,val,val,False
0107421.jpg,train,train,False
0107425.jpg,train,train,False
0107454.jpg,train,train,False
0107466.jpg,train,train,False
0107475.jpg,train,train,False
0107536.jpg,train,train,False
0107786.jpg,train,train,False
0107802.jpg,train,train,False
0107865.jpg,val,val,False
0107944.jpg,train,train,False
0107965.jpg,train,train,False
0107973.jpg,val,val,False
0107974.jpg,train,train,False
0108046.jpg,train,train,False
0108074.jpg,train,train,False
0108130.jpg,train,train,False
0108219.jpg,train,train,False
0108225.jpg,val,val,False
0108234.jpg,train,train,False
0108252.jpg,val,val,False
0108298.jpg,train,train,False
0108337.jpg,val,val,False
0108353.jpg,val,val,False
0108367.jpg,train,train,False
0108413.jpg,train,train,False
0108422.jpg,train,train,False
0108870.jpg,train,train,False
0124139.jpg,train,train,False
0124142.jpg,train,train,False
0139297.jpg,train,train,False
0144838.jpg,train,train,False
0145791.jpg,train,train,False
0145794.jpg,train,train,False
0149132.jpg,train,train,False
0149825.jpg,train,train,False
0150006.jpg,val,val,False
0150198.jpg,train,train,False
0150621.jpg,train,train,False
0150734.jpg,train,train,False
0151049.jpg,train,train,False
0151269.jpg,train,train,False
01689.jpg,train,train,False
02123.jpg,train,train,False
0223131.jpg,val,val,False
0223193.jpg,train,train,False
0223464.jpg,train,train,False
0223610.jpg,train,train,False
0224273.jpg,train,train,False
0224274.jpg,train,train,False
0224275.jpg,val,val,False
0224276.jpg,train,train,False
0224277.jpg,train,train,False
0228168.jpg,train,train,False
0273269.jpg,train,train,False
0273415.jpg,train,train,False
0273631.jpg,val,train,True
0273637.jpg,train,train,False
0273804.jpg,val,val,False
0273854.jpg,train,train,False
0273856.jpg,train,train,False
0273883.jpg,train,train,False
0273884.jpg,val,val,False
0273888.jpg,train,train,False
0273894.jpg,train,train,False
0273905.jpg,val,val,False
0332353.jpg,train,train,False
0332357.jpg,train,train,False
0332432.jpg,val,val,False
0332439.jpg,train,train,False
0332447.jpg,train,train,False
0332462.jpg,train,train,False
0332991.jpg,train,train,False
0335464.jpg,val,val,False
0335470.jpg,train,train,False
0335552.jpg,train,train,False
0335581.jpg,train,train,False
0335809.jpg,train,train,False
0335832.jpg,val,val,False
0335843.jpg,train,train,False
0336000.jpg,train,train,False
0336145.jpg,train,train,False
0336151.jpg,val,val,False
0336341.jpg,train,train,False
0336538.jpg,val,val,False
0336898.jpg,train,train,False
0337246.jpg,train,train,False
0337543.jpg,train,train,False
0338707.jpg,train,train,False
0338708.jpg,train,train,False
0338831.jpg,train,train,False
0338934.jpg,train,train,False
0341819.jpg,train,train,False
0341843.jpg,train,train,False
0341861.jpg,val,val,False
0341940.jpg,train,train,False
0341957.jpg,train,train,False
0341968.jpg,train,train,False
0342055.jpg,train,train,False
0343651.jpg,train,train,False
0344125.jpg,train,train,False
0344667.jpg,train,train,False
0344893.jpg,train,train,False
0344978.jpg,train,train,False
0344980.jpg,train,train,False
0344995.jpg,train,train,False
0344998.jpg,train,train,False
0345170.jpg,train,train,False
0345173.jpg,train,train,False
0346284.jpg,train,train,False
0348101.jpg,train,train,False
0348104.jpg,train,train,False
0348109.jpg,train,train,False
0348116.jpg,train,train,False
0352177.jpg,train,train,False
0352319.jpg,train,train,False
0355302.jpg,train,train,False
0355303.jpg,train,train,False
0355330.jpg,val,val,False
0355357.jpg,train,train,False
0355440.jpg,train,train,False
0355564.jpg,train,train,False
0355575.jpg,train,train,False
0355630.jpg,train,train,False
0357225.jpg,train,train,False
0357298.jpg,train,train,False
0357386.jpg,train,train,False
0357981.jpg,train,train,False
0358268.jpg,train,train,False
0358321.jpg,train,train,False
0359727.jpg,train,train,False
0365739.jpg,train,train,False
0370438.jpg,train,train,False
0370449.jpg,train,train,False
0370467.jpg,train,train,False
0370498.jpg,train,train,False
0370521.jpg,val,val,False
0370543.jpg,train,train,False
0370547.jpg,val,val,False
0370548.jpg,train,train,False
0370549.jpg,train,train,False
0370582.jpg,train,train,False
0370585.jpg,train,train,False
0370589.jpg,val,val,False
0370593.jpg,train,train,False
0370597.jpg,train,train,False
0370604.jpg,train,train,False
0370605.jpg,val,val,False
0370608.jpg,train,train,False
0370610.jpg,val,val,False
0370611.jpg,train,train,False
0370612.jpg,train,train,False
0370613.jpg,train,train,False
0370631.jpg,val,val,False
0370633.jpg,val,val,False
0370637.jpg,train,train,False
0370652.jpg,train,train,False
0370658.jpg,val,val,False
0370661.jpg,train,train,False
0370676.jpg,val,train,True
0370830.jpg,train,train,False
0370852.jpg,val,val,False
0370940.jpg,train,train,False
0370944.jpg,train,train,False
0370984.jpg,val,val,False
0371014.jpg,train,train,False
0371018.jpg,val,val,False
0371339.jpg,train,train,False
0371467.jpg,train,train,False
0371554.jpg,train,train,False
0371661.jpg,train,train,False
0371724.jpg,train,train,False
0371737.jpg,train,train,False
0371772.jpg,train,train,False
0371781.jpg,val,val,False
0371787.jpg,val,val,False
0371873.jpg,train,train,False
0372210.jpg,train,train,False
0372287.jpg,train,train,False
0372290.jpg,train,train,False
0372375.jpg,train,train,False
0372400.jpg,train,train,False
0372424.jpg,val,val,False
0372428.jpg,train,train,False
0372471.jpg,train,train,False
0372608.jpg,val,val,False
0372781.jpg,train,train,False
0372822.jpg,train,train,False
0372911.jpg,train,train,False
0373057.jpg,val,val,False
0373247.jpg,train,train,False
0373263.jpg,train,train,False
0373317.jpg,train,train,False
0373325.jpg,val,val,False
0373326.jpg,train,train,False
0373330.jpg,train,train,False
0373331.jpg,train,train,False
0373342.jpg,train,train,False
0373345.jpg,train,train,False
0373351.jpg,val,val,False
0373354.jpg,train,train,False
0373378.jpg,val,val,False
0373379.jpg,train,train,False
0373401.jpg,train,train,False
0373444.jpg,train,train,False
0373456.jpg,train,train,False
0373458.jpg,train,train,False
0373461.jpg,val,val,False
0373479.jpg,train,train,False
0373523.jpg,train,train,False
0373533.jpg,train,train,False
0373538.jpg,train,train,False
0373542.jpg,train,train,False
0373545.jpg,train,train,False
0373548.jpg,train,train,False
0373549.jpg,train,train,False
0373552.jpg,train,train,False
0373557.jpg,train,train,False
0373559.jpg,train,train,False
0373560.jpg,train,train,False
0373571.jpg,val,val,False
0373594.jpg,train,train,False
0373597.jpg,val,val,False
0373601.jpg,train,train,False
0373606.jpg,train,train,False
0373621.jpg,train,train,False
0373633.jpg,train,train,False
0373634.jpg,train,train,False
0373672.jpg,train,train,False
0373690.jpg,train,train,False
0373698.jpg,train,train,False
0373713.jpg,train,train,False
0373725.jpg,train,train,False
0373736.jpg,val,val,False
0373737.jpg,val,val,False
0373762.jpg,train,train,False
0373786.jpg,train,train,False
0373787.jpg,val,val,False
0373793.jpg,train,train,False
0373816.jpg,train,train,False
0373876.jpg,train,train,False
0373914.jpg,val,val,False
0373929.jpg,train,train,False
0373931.jpg,train,train,False
0373932.jpg,train,train,False
0373934.jpg,train,train,False
0373935.jpg,train,train,False
0373936.jpg,train,train,False
0373937.jpg,train,train,False
0373938.jpg,train,train,False
0373950.jpg,train,train,False
0373951.jpg,train,train,False
0373954.jpg,train,train,False
0374067.jpg,train,train,False
0374153.jpg,train,train,False
0374167.jpg,train,train,False
0374232.jpg,train,train,False
0374307.jpg,train,train,False
0374322.jpg,val,val,False
0374393.jpg,val,val,False
0374411.jpg,train,train,False
0374507.jpg,val,val,False
0374514.jpg,train,train,False
0374604.jpg,val,val,False
0374670.jpg,train,train,False
0374692.jpg,val,val,False
0374697.jpg,train,train,False
0374722.jpg,train,train,False
0374740.jpg,train,train,False
0374759.jpg,train,train,False
0374760.jpg,val,val,False
0374770.jpg,train,train,False
0374773.jpg,train,train,False
0374775.jpg,train,train,False
0374783.jpg,val,val,False
0374807.jpg,val,val,False
0374823.jpg,train,train,False
0374824.jpg,train,train,False
0374848.jpg,train,train,False
0374854.jpg,train,train,False
0374967.jpg,train,train,False
0375235.jpg,train,train,False
0375237.jpg,train,train,False
0375240.jpg,train,train,False
0375287.jpg,train,train,False
0375289.jpg,train,train,False
0375298.jpg,train,train,False
0375299.jpg,train,train,False
0375306.jpg,train,train,False
0375324.jpg,val,val,False
0375328.jpg,val,val,False
0375514.jpg,train,train,False
0375516.jpg,val,val,False
0375520.jpg,val,val,False
0375522.jpg,train,train,False
0375523.jpg,train,train,False
0375524.jpg,train,train,False
0375525.jpg,train,train,False
0375526.jpg,val,val,False
0375527.jpg,train,train,False
0375529.jpg,train,train,False
0375530.jpg,val,val,False
0375531.jpg,train,train,False
0375543.jpg,train,train,False
0375700.jpg,train,train,False
0375742.jpg,val,val,False
0375763.jpg,train,train,False
0375764.jpg,train,train,False
0375775.jpg,train,train,False
0375782.jpg,train,train,False
0375795.jpg,train,train,False
0375799.jpg,train,train,False
0375814.jpg,train,train,False
0375829.jpg,train,train,False
0375870.jpg,train,train,False
0375911.jpg,train,train,False
0375954.jpg,train,train,False
0375958.jpg,train,train,False
0375960.jpg,train,train,False
0375961.jpg,val,val,False
0375964.jpg,train,train,False
0375967.jpg,train,train,False
0376073.jpg,train,train,False
0376114.jpg,train,train,False
0376117.jpg,train,train,False
0376199.jpg,train,train,False
0376334.jpg,train,train,False
0376354.jpg,train,train,False
0376356.jpg,train,train,False
0376357.jpg,train,train,False
0376358.jpg,val,val,False
0376371.jpg,val,val,False
0376372.jpg,train,train,False
0376375.jpg,train,train,False
0376432.jpg,train,train,False
0376443.jpg,train,train,False
0376447.jpg,train,train,False
0376449.jpg,train,train,False
0376450.jpg,train,train,False
0376484.jpg,train,train,False
0376495.jpg,train,train,False
0376500.jpg,train,train,False
0376574.jpg,train,train,False
0376576.jpg,train,train,False
0376578.jpg,train,train,False
0376664.jpg,val,val,False
0376665.jpg,train,train,False
0376744.jpg,train,train,False
0377163.jpg,train,train,False
0377166.jpg,train,train,False
0377172.jpg,train,train,False
0377328.jpg,val,val,False
0377342.jpg,train,train,False
0377363.jpg,train,train,False
0377364.jpg,train,train,False
0377367.jpg,train,train,False
0377395.jpg,train,train,False
0377404.jpg,train,train,False
0377434.jpg,train,train,False
0377446.jpg,train,train,False
0377447.jpg,train,train,False
0377476.jpg,train,train,False
0377495.jpg,train,train,False
0377496.jpg,val,val,False
0377497.jpg,train,train,False
0377507.jpg,train,train,False
0377508.jpg,train,train,False
0377520.jpg,train,train,False
0377521.jpg,train,train,False
0377545.jpg,val,val,False
0377552.jpg,val,val,False
0377561.jpg,val,val,False
0377611.jpg,train,train,False
0377732.jpg,train,train,False
0377739.jpg,train,train,False
0377740.jpg,train,train,False
0377741.jpg,val,val,False
0377742.jpg,val,val,False
0377743.jpg,train,train,False
0377757.jpg,val,val,False
0377758.jpg,val,val,False
0377761.jpg,train,train,False
0377762.jpg,train,train,False
0377763.jpg,train,train,False
0377789.jpg,train,train,False
0377830.jpg,train,train,False
0377838.jpg,val,val,False
0377845.jpg,train,train,False
03780.jpg,train,train,False
0378107.jpg,val,val,False
0378113.jpg,val,val,False
0378114.jpg,train,train,False
0378117.jpg,train,train,False
0378128.jpg,val,val,False
0378134.jpg,train,train,False
0378167.jpg,train,train,False
0378177.jpg,train,train,False
0378183.jpg,train,train,False
0378220.jpg,train,train,False
0378221.jpg,train,train,False
0378240.jpg,train,train,False
0378248.jpg,val,val,False
0378253.jpg,val,val,False
0378274.jpg,train,train,False
0378479.jpg,train,train,False
0378491.jpg,val,val,False
0378554.jpg,val,val,False
0378574.jpg,train,train,False
0378581.jpg,val,val,False
0378601.jpg,val,val,False
0378607.jpg,train,train,False
0378641.jpg,train,train,False
0378704.jpg,train,train,False
0378714.jpg,train,train,False
0378718.jpg,train,train,False
0378723.jpg,train,train,False
0378737.jpg,train,train,False
0382781.jpg,train,train,False
0386036.jpg,train,train,False
0386084.jpg,train,train,False
0386086.jpg,val,val,False
0386087.jpg,train,train,False
0386413.jpg,train,train,False
0386414.jpg,train,train,False
0388788.jpg,train,train,False
0390651.jpg,train,train,False
0390793.jpg,val,val,False
0390841.jpg,train,train,False
0390871.jpg,train,train,False
0390881.jpg,train,train,False
0390889.jpg,train,train,False
0390892.jpg,train,train,False
0390915.jpg,train,train,False
0390929.jpg,train,train,False
0390981.jpg,train,train,False
0391021.jpg,val,val,False
0391041.jpg,val,val,False
0391046.jpg,train,train,False
0391132.jpg,train,train,False
0391143.jpg,train,train,False
0391144.jpg,train,train,False
0391168.jpg,val,val,False
0391229.jpg,train,train,False
0391236.jpg,train,train,False
0391248.jpg,train,train,False
0391405.jpg,val,val,False
0391723.jpg,train,train,False
0391740.jpg,train,train,False
0391747.jpg,train,train,False
0391782.jpg,train,train,False
0391790.jpg,train,train,False
0391792.jpg,train,train,False
0391799.jpg,train,train,False
0391805.jpg,train,train,False
0391822.jpg,train,train,False
0391825.jpg,val,val,False
0391838.jpg,train,train,False
0391842.jpg,train,train,False
0391844.jpg,train,train,False
0391855.jpg,train,train,False
0391894.jpg,train,train,False
0391924.jpg,train,train,False
0391953.jpg,train,train,False
0391960.jpg,train,train,False
0391969.jpg,val,val,False
0391995.jpg,train,train,False
0392014.jpg,train,train,False
0392022.jpg,val,val,False
0392064.jpg,val,val,False
0392080.jpg,train,train,False
0392114.jpg,train,train,False
0392115.jpg,train,train,False
0392129.jpg,train,train,False
0392347.jpg,train,train,False
0392350.jpg,train,train,False
0392410.jpg,train,train,False
0392420.jpg,train,train,False
0392520.jpg,train,train,False
0392531.jpg,train,train,False
0392539.jpg,val,val,False
0392548.jpg,val,val,False
0392568.jpg,train,train,False
0392581.jpg,train,train,False
0392590.jpg,train,train,False
0392600.jpg,val,val,False
0394634.jpg,train,train,False
0394635.jpg,train,train,False
0394636.jpg,val,val,False
03947.jpg,train,train,False
0394847.jpg,train,train,False
0394900.jpg,train,train,False
0394937.jpg,train,train,False
0395324.jpg,train,train,False
0395353.jpg,train,train,False
0395354.jpg,train,train,False
0395807.jpg,train,train,False
0395878.jpg,train,train,False
0395892.jpg,val,val,False
0395903.jpg,train,train,False
0395945.jpg,train,train,False
0396112.jpg,train,train,False
0396118.jpg,train,train,False
0396122.jpg,train,train,False
0396126.jpg,train,train,False
0396128.jpg,train,train,False
0396148.jpg,train,train,False
0396149.jpg,val,val,False
0396157.jpg,train,train,False
0396169.jpg,val,val,False
0396174.jpg,train,train,False
0396177.jpg,train,train,False
0396197.jpg,train,train,False
03965.jpg,val,val,False
0396575.jpg,train,train,False
0396934.jpg,train,train,False
0396963.jpg,train,train,False
0396964.jpg,train,train,False
0397525.jpg,val,val,False
0397712.jpg,train,train,False
0397796.jpg,train,train,False
0397804.jpg,train,train,False
0397834.jpg,train,train,False
0398074.jpg,train,train,False
0398215.jpg,train,train,False
0398335.jpg,train,train,False
0398419.jpg,val,val,False
0398430.jpg,train,train,False
0398670.jpg,train,train,False
0398685.jpg,train,train,False
0398698.jpg,val,val,False
0398993.jpg,val,val,False
0399055.jpg,train,train,False
0399260.jpg,train,train,False
0399410.jpg,train,train,False
0399471.jpg,val,val,False
0399654.jpg,train,train,False
0399701.jpg,train,train,False
0400397.jpg,train,train,False
0400479.jpg,train,train,False
0400621.jpg,train,train,False
0400965.jpg,val,val,False
0401502.jpg,val,val,False
0401523.jpg,train,train,False
0401607.jpg,train,train,False
0401728.jpg,val,val,False
